»’∆⁄,∆⁄ ˝,,,,∫Ï«Ú_1,∫Ï«Ú_2,∫Ï«Ú_3,∫Ï«Ú_4,∫Ï«Ú_5,¿∂«Ú_1,¿∂«Ú_2
2022-3-19,22029,,,,07,08,10,14,17,10,12
2022-3-16,22028,,,,04,09,16,17,35,01,07
2022-3-14,22027,,,,03,06,11,31,32,05,12
2022-3-12,22026,,,,11,14,22,23,27,08,10
2022-3-9,22025,,,,04,07,22,24,29,01,07
2022-3-7,22024,,,,01,02,11,30,35,01,12
2022-3-5,22023,,,,04,05,18,20,25,11,12
2022-3-2,22022,,,,01,05,14,17,28,06,07
2022-2-28,22021,,,,11,15,16,18,35,06,09
2022-2-26,22020,,,,16,17,30,31,35,08,09
2022-2-23,22019,,,,01,04,07,17,21,01,02
2022-2-21,22018,,,,16,21,29,31,34,06,09
2022-2-19,22017,,,,10,14,18,23,25,07,11
2022-2-16,22016,,,,01,07,17,26,32,01,09
2022-2-14,22015,,,,01,02,08,12,30,05,12
2022-2-12,22014,,,,01,04,10,18,32,01,09
2022-2-9,22013,,,,04,09,16,25,32,05,06
2022-1-26,22012,,,,03,05,10,33,34,07,10
2022-1-24,22011,,,,03,05,17,24,32,05,12
2022-1-22,22010,,,,04,19,25,31,35,02,11
2022-1-19,22009,,,,13,14,18,31,33,07,10
2022-1-17,22008,,,,01,02,13,18,34,06,07
2022-1-15,22007,,,,05,22,23,25,35,03,11
2022-1-12,22006,,,,01,05,07,17,20,05,12
2022-1-10,22005,,,,02,13,17,19,34,05,09
2022-1-8,22004,,,,07,20,27,30,33,03,04
2022-1-5,22003,,,,02,18,24,25,34,08,12
2022-1-3,22002,,,,04,06,07,09,24,04,12
2022-1-1,22001,,,,08,11,19,22,29,03,11
2021-12-29,21150,,,,04,10,11,23,26,07,10
2021-12-27,21149,,,,20,26,28,30,35,10,11
2021-12-25,21148,,,,01,04,12,16,29,04,08
2021-12-22,21147,,,,01,02,08,12,26,01,07
2021-12-20,21146,,,,03,05,08,18,20,09,11
2021-12-18,21145,,,,03,08,25,29,30,01,06
2021-12-15,21144,,,,03,20,25,30,34,02,09
2021-12-13,21143,,,,09,17,19,29,34,04,11
2021-12-11,21142,,,,11,13,17,19,25,02,09
2021-12-8,21141,,,,02,08,16,29,34,05,12
2021-12-6,21140,,,,05,24,26,33,35,09,12
2021-12-4,21139,,,,05,13,18,23,34,08,09
2021-12-1,21138,,,,09,11,12,15,31,05,11
2021-11-29,21137,,,,02,07,13,14,19,04,05
2021-11-27,21136,,,,08,12,19,27,33,02,05
2021-11-24,21135,,,,04,07,17,29,31,05,06
2021-11-22,21134,,,,02,06,14,19,28,01,06
2021-11-20,21133,,,,08,09,17,26,28,06,08
2021-11-17,21132,,,,04,21,28,29,33,03,11
2021-11-15,21131,,,,06,08,16,34,35,05,06
2021-11-13,21130,,,,02,03,14,27,28,05,10
2021-11-10,21129,,,,02,16,17,18,34,04,10
2021-11-8,21128,,,,14,17,18,23,27,05,08
2021-11-6,21127,,,,01,02,15,17,26,02,11
2021-11-3,21126,,,,01,11,12,34,35,09,12
2021-11-1,21125,,,,17,19,21,27,31,04,09
2021-10-30,21124,,,,10,17,22,25,35,07,09
2021-10-27,21123,,,,08,23,26,27,33,08,09
2021-10-25,21122,,,,14,15,26,27,29,04,05
2021-10-23,21121,,,,02,15,19,29,30,02,09
2021-10-20,21120,,,,05,10,21,25,31,05,11
2021-10-18,21119,,,,01,02,09,16,30,09,10
2021-10-16,21118,,,,14,17,18,28,34,02,03
2021-10-13,21117,,,,11,18,21,22,33,05,06
2021-10-11,21116,,,,04,25,28,29,35,03,11
2021-10-9,21115,,,,08,13,19,20,29,06,10
2021-10-6,21114,,,,08,09,13,29,30,01,11
2021-9-29,21113,,,,17,18,25,27,28,04,08
2021-9-27,21112,,,,18,21,22,23,35,11,12
2021-9-25,21111,,,,07,08,15,19,28,08,09
2021-9-22,21110,,,,11,14,29,31,32,11,12
2021-9-20,21109,,,,03,04,07,27,31,06,09
2021-9-18,21108,,,,05,19,22,26,35,02,06
2021-9-15,21107,,,,03,05,13,20,25,07,11
2021-9-13,21106,,,,02,13,14,32,34,02,12
2021-9-11,21105,,,,07,10,11,17,18,04,09
2021-9-8,21104,,,,23,25,26,30,33,03,11
2021-9-6,21103,,,,04,10,23,30,31,05,11
2021-9-4,21102,,,,02,08,11,16,23,02,07
2021-9-1,21101,,,,13,18,19,27,32,06,11
2021-8-30,21100,,,,07,11,23,26,28,02,07
2021-8-28,21099,,,,15,19,27,28,30,03,04
2021-8-25,21098,,,,02,07,21,27,33,07,09
2021-8-23,21097,,,,11,26,30,31,33,03,10
2021-8-21,21096,,,,07,08,10,20,21,01,05
2021-8-18,21095,,,,10,15,19,20,30,11,12
2021-8-16,21094,,,,05,06,24,27,33,05,12
2021-8-14,21093,,,,20,25,27,28,31,08,11
2021-8-11,21092,,,,12,14,27,28,34,03,07
2021-8-9,21091,,,,01,04,10,21,29,03,05
2021-8-7,21090,,,,06,07,19,26,32,06,12
2021-8-4,21089,,,,01,17,24,28,35,10,12
2021-8-2,21088,,,,02,14,31,34,35,01,07
2021-7-31,21087,,,,10,14,15,25,28,03,10
2021-7-28,21086,,,,02,03,07,16,17,06,10
2021-7-26,21085,,,,01,12,15,26,35,10,11
2021-7-24,21084,,,,02,10,14,30,33,06,09
2021-7-21,21083,,,,07,09,11,26,35,01,08
2021-7-19,21082,,,,01,14,22,29,33,03,10
2021-7-17,21081,,,,05,13,24,29,35,07,08
2021-7-14,21080,,,,15,16,20,29,30,06,10
2021-7-12,21079,,,,06,14,19,26,33,08,11
2021-7-10,21078,,,,02,08,17,19,25,01,05
2021-7-7,21077,,,,02,06,09,21,25,06,08
2021-7-5,21076,,,,06,13,22,25,26,02,04
2021-7-3,21075,,,,06,14,15,17,20,01,05
2021-6-30,21074,,,,11,14,18,20,25,03,07
2021-6-28,21073,,,,08,12,14,20,24,06,10
2021-6-26,21072,,,,02,03,15,22,26,03,11
2021-6-23,21071,,,,08,11,16,29,35,01,04
2021-6-21,21070,,,,03,20,21,22,24,06,12
2021-6-19,21069,,,,01,03,24,32,33,04,06
2021-6-16,21068,,,,02,20,21,26,30,02,10
2021-6-14,21067,,,,01,04,22,23,34,08,09
2021-6-12,21066,,,,24,26,29,34,35,09,11
2021-6-9,21065,,,,23,25,30,31,35,07,08
2021-6-7,21064,,,,01,17,19,32,34,06,10
2021-6-5,21063,,,,05,09,14,29,30,09,11
2021-6-2,21062,,,,04,06,23,32,34,05,07
2021-5-31,21061,,,,15,19,20,26,32,04,07
2021-5-29,21060,,,,09,13,25,31,33,03,07
2021-5-26,21059,,,,04,16,27,28,35,02,09
2021-5-24,21058,,,,13,15,17,23,34,01,11
2021-5-22,21057,,,,05,07,19,20,28,05,07
2021-5-19,21056,,,,03,11,16,21,26,09,10
2021-5-17,21055,,,,03,06,10,11,24,10,11
2021-5-15,21054,,,,03,06,17,20,25,03,09
2021-5-12,21053,,,,03,06,15,17,35,07,11
2021-5-10,21052,,,,02,11,13,14,30,09,12
2021-5-8,21051,,,,01,04,14,16,19,03,04
2021-5-5,21050,,,,09,22,32,33,35,05,10
2021-5-3,21049,,,,01,10,22,23,25,02,12
2021-5-1,21048,,,,04,07,17,21,27,10,12
2021-4-28,21047,,,,01,06,09,25,33,04,08
2021-4-26,21046,,,,06,08,12,14,18,06,08
2021-4-24,21045,,,,01,04,06,11,19,07,09
2021-4-21,21044,,,,06,18,31,33,35,10,11
2021-4-19,21043,,,,07,12,17,19,34,01,10
2021-4-17,21042,,,,09,15,20,23,29,04,05
2021-4-14,21041,,,,02,05,09,11,32,04,09
2021-4-12,21040,,,,02,03,09,16,19,03,07
2021-4-10,21039,,,,04,12,14,21,35,02,11
2021-4-7,21038,,,,09,11,20,29,32,01,07
2021-4-5,21037,,,,10,21,27,29,33,04,12
2021-4-3,21036,,,,08,17,25,28,33,07,11
2021-3-31,21035,,,,05,11,16,30,32,03,04
2021-3-29,21034,,,,08,10,14,25,34,07,08
2021-3-27,21033,,,,01,03,05,30,32,01,05
2021-3-24,21032,,,,01,11,14,34,35,07,10
2021-3-22,21031,,,,01,04,19,20,34,03,05
2021-3-20,21030,,,,18,23,25,26,32,02,07
2021-3-17,21029,,,,02,06,10,32,33,04,07
2021-3-15,21028,,,,02,03,05,17,29,04,10
2021-3-13,21027,,,,09,21,22,26,30,04,12
2021-3-10,21026,,,,07,11,20,24,27,01,11
2021-3-8,21025,,,,17,18,23,30,31,10,12
2021-3-6,21024,,,,11,14,21,24,31,02,10
2021-3-3,21023,,,,07,09,13,16,32,02,09
2021-3-1,21022,,,,02,12,22,30,33,02,04
2021-2-27,21021,,,,16,18,29,33,35,09,12
2021-2-24,21020,,,,07,21,22,30,33,04,06
2021-2-22,21019,,,,01,12,13,28,29,03,04
2021-2-20,21018,,,,02,20,23,26,34,05,10
2021-2-8,21017,,,,17,21,26,29,32,02,07
2021-2-6,21016,,,,08,09,10,19,34,01,02
2021-2-3,21015,,,,04,08,17,19,25,01,07
2021-2-1,21014,,,,07,13,20,27,29,04,09
2021-1-30,21013,,,,21,27,28,30,34,08,11
2021-1-27,21012,,,,06,12,20,23,33,01,09
2021-1-25,21011,,,,06,09,11,14,21,01,03
2021-1-23,21010,,,,01,05,16,22,34,08,11
2021-1-20,21009,,,,01,03,20,29,32,05,12
2021-1-18,21008,,,,05,19,20,27,33,03,08
2021-1-16,21007,,,,05,23,30,34,35,08,10
2021-1-13,21006,,,,04,22,25,28,35,04,05
2021-1-11,21005,,,,03,07,10,12,35,03,05
2021-1-9,21004,,,,05,10,17,23,28,02,08
2021-1-6,21003,,,,07,21,28,31,35,04,10
2021-1-4,21002,,,,02,16,26,31,34,09,11
2021-1-2,21001,,,,02,06,12,19,33,08,09
2020-12-30,20134,,,,08,11,13,22,25,04,07
2020-12-28,20133,,,,11,24,26,33,35,08,09
2020-12-26,20132,,,,03,15,16,17,21,07,10
2020-12-23,20131,,,,08,25,27,29,35,02,03
2020-12-21,20130,,,,16,17,23,26,32,02,12
2020-12-19,20129,,,,10,22,27,33,34,01,11
2020-12-16,20128,,,,09,12,13,26,33,04,10
2020-12-14,20127,,,,01,04,17,18,26,03,10
2020-12-12,20126,,,,01,04,09,22,28,04,12
2020-12-9,20125,,,,01,02,03,08,22,01,04
2020-12-7,20124,,,,11,15,24,26,35,04,05
2020-12-5,20123,,,,01,07,11,15,21,04,11
2020-12-2,20122,,,,08,19,29,34,35,06,11
2020-11-30,20121,,,,09,17,27,28,35,03,08
2020-11-28,20120,,,,05,25,26,30,35,04,10
2020-11-25,20119,,,,14,22,24,28,32,07,08
2020-11-23,20118,,,,01,09,15,30,33,04,09
2020-11-21,20117,,,,07,19,20,23,24,05,10
2020-11-18,20116,,,,08,10,12,16,22,03,09
2020-11-16,20115,,,,01,09,18,19,23,01,09
2020-11-14,20114,,,,10,12,21,24,30,03,07
2020-11-11,20113,,,,06,14,18,28,33,02,05
2020-11-9,20112,,,,08,11,13,30,32,02,06
2020-11-7,20111,,,,05,07,09,20,28,02,07
2020-11-4,20110,,,,11,16,20,21,28,05,11
2020-11-2,20109,,,,02,20,21,23,32,06,12
2020-10-31,20108,,,,02,03,06,07,33,08,09
2020-10-28,20107,,,,01,04,13,17,28,03,07
2020-10-26,20106,,,,02,03,11,14,27,04,10
2020-10-24,20105,,,,03,08,12,13,22,04,12
2020-10-21,20104,,,,03,12,23,26,30,04,07
2020-10-19,20103,,,,07,12,13,19,23,02,08
2020-10-17,20102,,,,07,11,18,20,29,09,12
2020-10-14,20101,,,,03,04,05,09,34,07,09
2020-10-12,20100,,,,04,05,08,22,33,07,10
2020-10-10,20099,,,,02,03,11,15,27,04,12
2020-10-7,20098,,,,04,09,15,24,35,04,10
2020-10-5,20097,,,,05,25,27,30,34,06,12
2020-9-30,20096,,,,07,08,10,25,28,03,11
2020-9-28,20095,,,,02,18,25,26,32,02,07
2020-9-26,20094,,,,04,06,07,08,16,02,08
2020-9-23,20093,,,,06,14,25,27,28,04,11
2020-9-21,20092,,,,08,11,17,31,35,07,11
2020-9-19,20091,,,,12,16,20,23,31,05,12
2020-9-16,20090,,,,05,06,27,28,29,11,12
2020-9-14,20089,,,,13,16,20,22,27,01,02
2020-9-12,20088,,,,02,07,23,26,35,01,12
2020-9-9,20087,,,,01,04,20,23,29,04,08
2020-9-7,20086,,,,08,11,15,20,28,04,10
2020-9-5,20085,,,,03,04,11,15,28,02,03
2020-9-2,20084,,,,02,10,20,24,31,06,12
2020-8-31,20083,,,,01,02,17,32,34,04,09
2020-8-29,20082,,,,02,11,12,21,34,04,08
2020-8-26,20081,,,,01,13,15,32,35,08,10
2020-8-24,20080,,,,03,06,22,24,25,09,10
2020-8-22,20079,,,,04,16,24,29,35,02,12
2020-8-19,20078,,,,14,18,20,28,34,10,11
2020-8-17,20077,,,,17,23,28,29,32,01,03
2020-8-15,20076,,,,01,08,18,28,30,10,12
2020-8-12,20075,,,,02,09,10,21,35,01,07
2020-8-10,20074,,,,03,09,10,12,21,04,11
2020-8-8,20073,,,,04,10,12,23,27,08,09
2020-8-5,20072,,,,11,15,18,20,27,05,06
2020-8-3,20071,,,,01,12,16,28,33,03,12
2020-8-1,20070,,,,01,22,30,31,32,04,12
2020-7-29,20069,,,,05,07,26,30,31,07,10
2020-7-27,20068,,,,15,20,23,26,33,02,08
2020-7-25,20067,,,,01,08,14,16,28,04,10
2020-7-22,20066,,,,06,14,21,34,35,03,10
2020-7-20,20065,,,,13,15,26,32,33,05,07
2020-7-18,20064,,,,05,10,23,34,35,01,11
2020-7-15,20063,,,,11,18,20,21,33,06,07
2020-7-13,20062,,,,01,05,14,23,31,02,07
2020-7-11,20061,,,,07,08,12,21,26,01,06
2020-7-8,20060,,,,12,14,25,34,35,03,12
2020-7-6,20059,,,,01,15,22,28,32,03,11
2020-7-4,20058,,,,01,15,19,26,27,05,10
2020-7-1,20057,,,,17,20,21,22,31,02,08
2020-6-29,20056,,,,03,11,25,29,34,03,06
2020-6-27,20055,,,,03,04,12,18,34,10,12
2020-6-24,20054,,,,11,14,15,19,20,03,07
2020-6-22,20053,,,,02,15,18,21,27,03,06
2020-6-20,20052,,,,09,11,26,28,35,06,07
2020-6-17,20051,,,,02,07,09,19,33,01,07
2020-6-15,20050,,,,03,14,16,22,34,02,06
2020-6-13,20049,,,,03,11,15,22,30,08,10
2020-6-10,20048,,,,03,09,10,15,16,07,09
2020-6-8,20047,,,,04,18,27,28,30,03,10
2020-6-6,20046,,,,15,24,27,30,34,04,12
2020-6-3,20045,,,,02,09,16,23,27,03,08
2020-6-1,20044,,,,01,03,22,28,30,02,05
2020-5-30,20043,,,,12,13,17,31,32,01,06
2020-5-27,20042,,,,03,04,05,11,22,05,06
2020-5-25,20041,,,,07,13,20,29,34,04,07
2020-5-23,20040,,,,02,17,20,28,29,01,07
2020-5-20,20039,,,,01,05,15,22,31,02,09
2020-5-18,20038,,,,04,15,20,22,24,01,09
2020-5-16,20037,,,,01,04,10,11,14,02,05
2020-5-13,20036,,,,01,05,11,12,26,02,07
2020-5-11,20035,,,,10,11,22,26,28,02,04
2020-5-9,20034,,,,11,13,20,27,31,02,04
2020-5-6,20033,,,,07,19,20,31,34,05,08
2020-5-4,20032,,,,02,03,09,16,32,03,04
2020-5-2,20031,,,,01,02,05,15,21,04,05
2020-4-29,20030,,,,01,08,17,27,30,05,06
2020-4-27,20029,,,,11,14,17,22,30,07,09
2020-4-25,20028,,,,04,05,28,34,35,01,08
2020-4-22,20027,,,,04,07,20,25,32,03,09
2020-4-20,20026,,,,03,15,26,32,34,08,12
2020-4-18,20025,,,,02,14,21,22,26,05,07
2020-4-15,20024,,,,03,05,06,24,30,03,07
2020-4-13,20023,,,,04,11,23,26,30,01,06
2020-4-11,20022,,,,04,14,20,28,35,02,03
2020-4-8,20021,,,,10,12,24,31,33,04,09
2020-4-6,20020,,,,08,10,12,26,32,05,09
2020-4-4,20019,,,,01,12,22,23,33,01,12
2020-4-1,20018,,,,09,14,16,24,26,04,12
2020-3-30,20017,,,,01,06,07,09,10,02,11
2020-3-28,20016,,,,04,08,19,31,35,01,02
2020-3-25,20015,,,,01,07,23,24,26,03,07
2020-3-23,20014,,,,03,07,09,17,21,03,06
2020-3-21,20013,,,,01,04,05,11,35,03,09
2020-3-18,20012,,,,01,06,18,32,34,01,03
2020-3-16,20011,,,,02,13,19,22,23,02,07
2020-3-14,20010,,,,01,08,13,24,32,02,09
2020-1-20,20009,,,,19,29,31,34,35,06,10
2020-1-18,20008,,,,14,17,19,24,32,01,06
2020-1-15,20007,,,,02,10,19,24,30,05,08
2020-1-13,20006,,,,09,22,25,31,32,08,12
2020-1-11,20005,,,,06,10,33,34,35,01,03
2020-1-8,20004,,,,17,20,21,29,30,05,09
2020-1-6,20003,,,,23,25,26,30,34,03,07
2020-1-4,20002,,,,03,07,18,25,30,02,07
2020-1-1,20001,,,,17,25,26,32,34,04,07
2019-12-30,19150,,,,07,11,12,16,33,05,07
2019-12-28,19149,,,,01,02,07,33,35,06,10
2019-12-25,19148,,,,03,04,07,11,30,08,09
2019-12-23,19147,,,,09,12,19,22,33,07,08
2019-12-21,19146,,,,10,11,26,33,34,01,06
2019-12-18,19145,,,,05,09,19,22,32,03,05
2019-12-16,19144,,,,02,05,20,28,31,02,11
2019-12-14,19143,,,,04,22,23,24,32,06,12
2019-12-11,19142,,,,03,04,26,29,33,06,07
2019-12-9,19141,,,,02,10,20,21,35,01,12
2019-12-7,19140,,,,03,07,08,25,27,03,05
2019-12-4,19139,,,,01,05,07,08,11,06,10
2019-12-2,19138,,,,04,06,07,20,29,02,04
2019-11-30,19137,,,,03,05,12,13,26,07,12
2019-11-27,19136,,,,03,16,20,26,29,03,09
2019-11-25,19135,,,,04,05,19,25,26,01,11
2019-11-23,19134,,,,05,06,07,14,17,10,11
2019-11-20,19133,,,,03,12,24,27,34,01,12
2019-11-18,19132,,,,03,05,06,13,18,10,12
2019-11-16,19131,,,,05,06,14,27,29,06,10
2019-11-13,19130,,,,01,13,20,21,26,04,10
2019-11-11,19129,,,,10,13,18,23,30,06,12
2019-11-9,19128,,,,20,21,25,34,35,03,12
2019-11-6,19127,,,,04,07,08,11,16,09,11
2019-11-4,19126,,,,05,09,16,18,30,04,07
2019-11-2,19125,,,,05,08,09,14,34,02,05
2019-10-30,19124,,,,07,17,26,27,30,06,12
2019-10-28,19123,,,,03,13,15,26,30,05,12
2019-10-26,19122,,,,05,19,25,31,33,10,11
2019-10-23,19121,,,,01,02,03,07,17,04,10
2019-10-21,19120,,,,06,15,17,22,25,01,09
2019-10-19,19119,,,,03,06,09,23,34,02,11
2019-10-16,19118,,,,02,03,13,19,26,02,03
2019-10-14,19117,,,,01,18,21,25,35,07,08
2019-10-12,19116,,,,02,10,16,21,23,02,12
2019-10-9,19115,,,,01,18,21,28,32,05,12
2019-9-30,19114,,,,03,05,07,20,23,04,11
2019-9-28,19113,,,,03,11,27,34,35,01,02
2019-9-25,19112,,,,03,10,16,21,33,05,06
2019-9-23,19111,,,,06,15,20,23,27,08,10
2019-9-21,19110,,,,01,19,23,24,30,04,05
2019-9-18,19109,,,,02,07,08,20,25,11,12
2019-9-16,19108,,,,24,27,28,31,34,04,08
2019-9-14,19107,,,,05,09,19,27,35,02,03
2019-9-11,19106,,,,05,08,10,32,35,02,10
2019-9-9,19105,,,,01,04,09,14,17,01,06
2019-9-7,19104,,,,02,07,19,22,28,03,05
2019-9-4,19103,,,,05,12,22,27,32,04,07
2019-9-2,19102,,,,05,10,15,19,31,03,06
2019-8-31,19101,,,,05,11,18,19,27,05,06
2019-8-28,19100,,,,05,08,12,19,21,06,11
2019-8-26,19099,,,,04,06,18,27,33,07,09
2019-8-24,19098,,,,13,15,17,19,22,03,04
2019-8-21,19097,,,,10,17,20,30,35,10,12
2019-8-19,19096,,,,02,12,22,23,27,02,06
2019-8-17,19095,,,,03,12,17,19,31,02,06
2019-8-14,19094,,,,01,12,14,26,27,07,09
2019-8-12,19093,,,,16,17,26,29,35,01,07
2019-8-10,19092,,,,02,11,15,27,30,02,05
2019-8-7,19091,,,,04,13,20,26,28,03,12
2019-8-5,19090,,,,13,19,28,30,33,02,12
2019-8-3,19089,,,,09,14,18,33,34,03,12
2019-7-31,19088,,,,01,05,18,27,33,06,08
2019-7-29,19087,,,,05,06,18,19,27,07,12
2019-7-27,19086,,,,05,15,16,28,31,02,07
2019-7-24,19085,,,,04,05,06,15,26,08,11
2019-7-22,19084,,,,12,23,25,34,35,01,07
2019-7-20,19083,,,,17,24,26,28,32,07,09
2019-7-17,19082,,,,06,18,20,21,31,03,04
2019-7-15,19081,,,,06,24,26,30,33,02,07
2019-7-13,19080,,,,05,13,18,19,24,02,07
2019-7-10,19079,,,,10,13,16,28,35,04,05
2019-7-8,19078,,,,05,10,21,26,30,01,07
2019-7-6,19077,,,,01,15,17,21,33,07,10
2019-7-3,19076,,,,01,06,11,23,29,01,11
2019-7-1,19075,,,,05,06,07,11,16,02,11
2019-6-29,19074,,,,08,09,13,14,34,05,07
2019-6-26,19073,,,,04,11,19,20,24,08,11
2019-6-24,19072,,,,02,04,06,09,18,07,10
2019-6-22,19071,,,,07,13,14,15,22,07,11
2019-6-19,19070,,,,02,13,15,22,34,02,12
2019-6-17,19069,,,,08,22,23,33,34,04,06
2019-6-15,19068,,,,04,05,08,17,27,06,11
2019-6-12,19067,,,,03,08,11,15,16,02,10
2019-6-10,19066,,,,04,10,11,18,31,05,08
2019-6-8,19065,,,,03,08,10,23,27,02,12
2019-6-5,19064,,,,07,08,13,19,29,11,12
2019-6-3,19063,,,,05,08,15,18,21,04,08
2019-6-1,19062,,,,05,16,23,25,28,01,12
2019-5-29,19061,,,,01,02,13,14,26,05,11
2019-5-27,19060,,,,01,11,12,18,21,08,10
2019-5-25,19059,,,,07,08,15,27,32,08,12
2019-5-22,19058,,,,03,10,13,14,32,07,11
2019-5-20,19057,,,,08,14,16,34,35,06,12
2019-5-18,19056,,,,01,07,10,12,23,06,08
2019-5-15,19055,,,,02,04,06,19,22,02,06
2019-5-13,19054,,,,02,18,23,27,30,05,10
2019-5-11,19053,,,,01,11,19,26,35,11,12
2019-5-8,19052,,,,04,10,15,20,24,07,11
2019-5-6,19051,,,,11,15,16,20,29,04,08
2019-5-4,19050,,,,04,15,16,20,35,03,12
2019-5-1,19049,,,,10,16,22,26,27,07,11
2019-4-29,19048,,,,06,10,16,29,33,05,11
2019-4-27,19047,,,,03,04,10,16,32,04,09
2019-4-24,19046,,,,02,08,14,15,35,10,12
2019-4-22,19045,,,,01,04,16,19,33,03,12
2019-4-20,19044,,,,03,06,10,12,31,01,02
2019-4-17,19043,,,,02,06,07,12,15,06,12
2019-4-15,19042,,,,04,10,13,28,33,11,12
2019-4-13,19041,,,,12,19,20,22,28,02,06
2019-4-10,19040,,,,01,03,31,32,34,01,03
2019-4-8,19039,,,,01,12,18,26,35,06,12
2019-4-6,19038,,,,05,11,16,18,27,07,12
2019-4-3,19037,,,,06,16,26,33,35,04,08
2019-4-1,19036,,,,03,09,21,28,30,01,12
2019-3-30,19035,,,,01,03,05,07,18,08,09
2019-3-27,19034,,,,08,12,15,27,30,01,02
2019-3-25,19033,,,,01,02,04,16,24,07,09
2019-3-23,19032,,,,01,04,07,11,30,07,08
2019-3-20,19031,,,,03,08,21,26,33,04,05
2019-3-18,19030,,,,07,09,13,14,33,02,04
2019-3-16,19029,,,,01,04,18,24,28,02,03
2019-3-13,19028,,,,06,22,28,29,33,02,07
2019-3-11,19027,,,,16,18,24,25,27,02,07
2019-3-9,19026,,,,10,12,15,17,19,02,03
2019-3-6,19025,,,,06,13,16,19,29,03,07
2019-3-4,19024,,,,11,17,19,29,33,08,09
2019-3-2,19023,,,,01,03,14,26,30,06,11
2019-2-27,19022,,,,01,04,14,15,21,01,05
2019-2-25,19021,,,,07,13,17,24,33,01,10
2019-2-23,19020,,,,01,08,16,27,34,03,12
2019-2-20,19019,,,,04,11,19,25,32,01,02
2019-2-18,19018,,,,03,18,19,26,34,06,12
2019-2-16,19017,,,,01,05,07,22,25,03,04
2019-2-13,19016,,,,03,05,13,16,28,02,06
2019-2-11,19015,,,,02,05,10,13,30,04,06
2019-2-2,19014,,,,12,14,20,28,31,09,11
2019-1-30,19013,,,,08,10,15,17,18,01,08
2019-1-28,19012,,,,05,09,17,18,19,07,10
2019-1-26,19011,,,,04,12,13,16,17,04,09
2019-1-23,19010,,,,03,07,24,25,27,02,12
2019-1-21,19009,,,,03,09,15,18,26,06,12
2019-1-19,19008,,,,03,08,17,20,24,06,11
2019-1-16,19007,,,,03,12,16,29,32,01,05
2019-1-14,19006,,,,14,17,19,25,30,04,08
2019-1-12,19005,,,,21,26,27,29,34,05,06
2019-1-9,19004,,,,15,16,17,31,32,03,09
2019-1-7,19003,,,,04,08,18,20,32,10,12
2019-1-5,19002,,,,02,07,14,22,31,01,07
2019-1-2,19001,,,,06,18,23,26,28,03,12
2018-12-31,18154,,,,14,22,23,26,30,03,05
2018-12-29,18153,,,,03,06,07,08,21,01,08
2018-12-26,18152,,,,02,04,05,12,28,08,11
2018-12-24,18151,,,,04,08,18,29,30,03,07
2018-12-22,18150,,,,05,12,13,31,34,10,12
2018-12-19,18149,,,,01,07,10,11,20,03,06
2018-12-17,18148,,,,02,06,24,33,34,02,03
2018-12-15,18147,,,,01,11,26,33,35,02,10
2018-12-12,18146,,,,03,08,09,13,33,01,02
2018-12-10,18145,,,,09,18,29,31,33,06,11
2018-12-8,18144,,,,06,17,18,24,31,07,11
2018-12-5,18143,,,,04,07,20,22,33,01,02
2018-12-3,18142,,,,19,24,28,29,34,10,11
2018-12-1,18141,,,,03,07,23,26,33,04,09
2018-11-28,18140,,,,01,06,08,12,15,03,04
2018-11-26,18139,,,,05,11,16,28,35,06,09
2018-11-24,18138,,,,01,23,24,28,33,04,05
2018-11-21,18137,,,,07,10,22,23,33,08,11
2018-11-19,18136,,,,03,11,12,19,21,05,11
2018-11-17,18135,,,,14,19,23,27,34,06,12
2018-11-14,18134,,,,04,05,19,31,35,02,12
2018-11-12,18133,,,,08,12,14,15,19,01,10
2018-11-10,18132,,,,03,16,22,23,27,01,04
2018-11-7,18131,,,,12,14,21,32,33,02,11
2018-11-5,18130,,,,03,04,16,18,25,01,11
2018-11-3,18129,,,,04,07,21,22,29,03,06
2018-10-31,18128,,,,11,12,14,16,26,08,09
2018-10-29,18127,,,,01,03,04,11,29,08,12
2018-10-27,18126,,,,11,13,15,21,27,05,06
2018-10-24,18125,,,,07,16,20,21,34,04,06
2018-10-22,18124,,,,08,10,12,19,20,10,11
2018-10-20,18123,,,,06,09,29,32,35,02,04
2018-10-17,18122,,,,08,09,21,30,31,05,12
2018-10-15,18121,,,,06,07,21,29,30,01,10
2018-10-13,18120,,,,21,22,25,27,30,08,09
2018-10-10,18119,,,,06,09,11,16,35,02,05
2018-10-8,18118,,,,04,05,14,21,34,06,09
2018-10-6,18117,,,,07,11,13,22,29,03,08
2018-10-3,18116,,,,01,14,17,21,33,07,10
2018-10-1,18115,,,,02,06,13,18,25,01,02
2018-9-29,18114,,,,12,18,26,28,29,05,06
2018-9-26,18113,,,,08,12,27,31,33,04,08
2018-9-24,18112,,,,03,07,08,09,29,09,10
2018-9-22,18111,,,,03,16,27,28,32,04,05
2018-9-19,18110,,,,06,19,21,27,28,03,11
2018-9-17,18109,,,,10,16,23,25,34,02,05
2018-9-15,18108,,,,09,10,24,31,32,07,12
2018-9-12,18107,,,,07,08,09,10,22,03,04
2018-9-10,18106,,,,04,14,17,24,31,01,04
2018-9-8,18105,,,,01,16,19,20,31,02,07
2018-9-5,18104,,,,01,13,14,26,28,07,11
